timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726841536220,55,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-30,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,54,0,33
1726841536224,52,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-34,text,true,,901,290,14,14,https://reqres.in/api/users,52,0,0
1726841536225,57,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-12,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,57,0,34
1726841536236,47,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-15,text,true,,901,290,14,14,https://reqres.in/api/users,47,0,0
1726841536214,72,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-31,text,true,,901,290,14,14,https://reqres.in/api/users,72,0,0
1726841536233,68,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-35,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,68,0,34
1726841536224,77,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-13,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,77,0,35
1726841536242,63,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-32,text,true,,901,290,14,14,https://reqres.in/api/users,63,0,0
1726841536246,61,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-14,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,61,0,29
1726841536253,57,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-11,text,true,,900,290,14,14,https://reqres.in/api/users,57,0,0
1726841536256,58,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-10,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,58,0,34
1726841536275,46,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-30,text,true,,901,290,14,14,https://reqres.in/api/users,46,0,0
1726841536233,95,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-33,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,94,0,33
1726841536262,67,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-28,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,65,0,45
1726841536261,73,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-29,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,72,0,45
1726841536277,62,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-34,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,62,0,40
1726841536288,73,Get Users List,200,OK,Spike Testing(120 VU TO 140VU) 1-31,text,true,,1928,127,14,14,https://reqres.in/api/users?page=2,73,0,33
1726841536282,81,Create a User,201,Created,Spike Testing(120 VU TO 140VU) 1-12,text,true,,901,290,14,14,https://reqres.in/api/users,81,0,0
